"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ETNPPL",3.57116409467442e-60,7.43779181674972,1,0.101,6.58951198749325e-56
"CHI3L1",1.76914925709816e-38,7.42975128352658,0.586,0.024,3.26443420919753e-34
"AQP4",9.49608393765645e-48,6.88664476178227,0.983,0.189,1.75221740817637e-43
"LINC00499",2.13004618208903e-48,6.76629032098902,0.931,0.124,3.93036121519068e-44
"GFAP",6.7889963545879e-39,6.53614347796317,0.862,0.145,1.25270560734856e-34
"SLC25A18",2.75250644498161e-58,6.39343236355683,0.983,0.092,5.07892489228006e-54
"GJA1",4.39689643873147e-50,6.36486344258903,1,0.178,8.11315330874732e-46
"RNF219.AS1",7.00182339430883e-42,6.26375132108001,0.759,0.068,1.29197645271786e-37
"ACOX2",2.27372695638399e-14,6.26212911751392,0.293,0.027,4.19548097991975e-10
"AGT",2.94477885152348e-50,6.25809949931555,1,0.169,5.43370593683112e-46
"GJB6",4.65055244709971e-59,6.24032082851626,0.897,0.05,8.58119937538838e-55
"ALDH1L1",5.24599449462327e-47,6.0482149541275,0.862,0.08,9.67990904147886e-43
"SELENBP1",1.82316843940767e-41,6.01771461669624,0.759,0.062,3.36411040439503e-37
"PLA2G5",6.11219245101842e-18,5.93379867812109,0.293,0.015,1.12782175106192e-13
"SLC39A12",1.97540906567347e-59,5.92489683145275,0.897,0.047,3.64502480798069e-55
"PRSS35",6.65439771055709e-33,5.91937235920957,0.534,0.027,1.22786946555199e-28
"RANBP3L",1.92197462391637e-53,5.90437846001078,0.983,0.124,3.54642757605049e-49
"APOE",6.9166293174407e-53,5.88989909166312,0.897,0.077,1.27625644165416e-48
"MGST1",7.11391763598507e-51,5.82826151432119,0.931,0.109,1.31266008219196e-46
"MRVI1",1.87784771540079e-50,5.81503936810593,0.897,0.089,3.46500460445753e-46
