"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
"1","3.39474283176047e-61","4.51624115534516","0.944","0.245","2.09072026779632e-56","GABRA1"
"2","3.15996697503149e-59","3.8645574455666","0.894","0.144","1.94612886091264e-54","SYNPR"
"3","4.79891781162143e-58","3.75848348482028","0.975","0.304","2.95550951264329e-53","GABRG2"
"4","2.21416099364913e-57","3.69544945358903","0.95","0.281","1.36363533115869e-52","GABRB2"
"5","1.98472405837939e-56","4.42626317808252","0.85","0.121","1.22233200583411e-51","CKMT1B"
"6","7.50174808192166e-55","3.53706978877678","0.925","0.225","4.62010159121309e-50","TMEM130"
"7","5.2803407143163e-54","3.01565878888204","0.994","0.719","3.25200343572598e-49","SNAP25"
"8","1.19101337771534e-53","2.88172992934857","1","0.752","7.33509408933548e-49","MEG3"
"9","1.73369878293236e-53","5.25228721036685","0.869","0.196","1.06773306944455e-48","CCK"
"10","1.22023991275807e-52","2.49995463894991","0.981","0.369","7.51509155070311e-48","NRXN3"
"11","2.2478865083064e-52","3.84697929854302","0.925","0.281","1.38440586387066e-47","VSNL1"
"12","4.79795260635415e-52","3.48217962520879","0.963","0.418","2.95491507167533e-47","SCG2"
"13","1.02310647873801e-51","2.90355246681582","0.988","0.376","6.30100587060377e-47","CELF4"
"14","6.81782992991267e-51","2.25680200741811","0.994","0.948","4.19889691893532e-46","SNHG14"
"15","3.88829996013207e-50","3.32678026052958","0.875","0.193","2.39468729644654e-45","SLC12A5"
"16","5.31473295281771e-50","3.23505787090556","0.963","0.356","3.27318458365184e-45","RIMS2"
"17","1.14899211591618e-48","3.66139928206688","0.919","0.288","7.07629774429297e-44","CIT"
"18","8.56011491710378e-48","2.44743882076265","0.963","0.369","5.2719179739967e-43","UNC80"
"19","2.41926127111503e-47","3.42952342387946","0.856","0.235","1.48995043904161e-42","CAMK2A"
"20","3.5529663773333e-47","3.64032499873725","0.875","0.232","2.18816540280826e-42","CHGB"
"21","2.04869866053604e-46","2.74833265134942","0.988","0.673","1.26173204406433e-41","SYT1"
"22","3.20672979439471e-46","3.7693821921795","0.8","0.163","1.97492867847387e-41","VSTM2A"
"23","9.89758405732421e-46","3.53253009310991","0.831","0.209","6.09562509338426e-41","KCNC2"
"24","1.44449043195729e-45","2.05157034881204","1","0.791","8.89618322329535e-41","ATP1B1"
"25","1.79728897843706e-45","3.46594625874337","0.825","0.206","1.10689636315003e-40","NRIP3"
"26","2.21948779366478e-45","2.56372803228382","0.963","0.376","1.36691594748433e-40","PNMA2"
"27","2.36207840256844e-45","2.33084249587847","0.994","0.549","1.45473322578982e-40","SCN2A"
"28","2.71760739441579e-45","3.09245670491085","0.869","0.275","1.67369286599886e-40","SNX10"
"29","2.77432710723278e-45","2.94584808815794","0.781","0.121","1.70862483553145e-40","SYN1"
"30","3.7468254691694e-45","3.40233253251086","0.869","0.245","2.30755740169736e-40","STXBP5L"
"31","7.32233149905339e-45","2.68893078313085","0.956","0.376","4.50960430032201e-40","GABBR2"
"32","9.315549088364e-45","3.08607114905285","0.875","0.255","5.73716721705073e-40","MAP7D2"
"33","1.02401804962631e-44","3.45312875204102","0.85","0.245","6.30661996223353e-40","FAM153C"
"34","1.47605672937175e-44","2.53576999344942","0.8","0.157","9.09059057918178e-40","PTPRN"
"35","4.11581530183071e-44","2.57437233090884","0.812","0.186","2.53480716993848e-39","GAD2"
"36","1.05001816230041e-43","3.08400627539738","0.894","0.301","6.46674685615954e-39","DNM1"
"37","1.05081732773872e-43","2.58866357800233","0.869","0.216","6.47166867634446e-39","SEZ6L2"
"38","1.50016192629985e-43","2.90311578229012","0.881","0.245","9.23904725550286e-39","RAB3C"
"39","2.28927331579607e-43","3.47660622727103","0.819","0.18","1.40989475699933e-38","PCSK2"
"40","2.79325711737691e-43","2.92701281742453","0.938","0.408","1.72028326087892e-38","NAP1L3"
"41","4.47873243254447e-43","2.70172040157451","0.956","0.559","2.75831694323116e-38","OXR1"
"42","5.96115320225735e-43","3.01096549733547","0.7","0.085","3.67129542267423e-38","ENTPD3"
"43","2.04425715963045e-42","2.60272344165366","0.887","0.324","1.25899665690161e-37","GAD1"
"44","2.20094322043159e-42","2.60800026276594","0.931","0.301","1.3554949011672e-37","GPRASP1"
"45","2.23575853090994e-42","3.01886814326037","0.9","0.255","1.37693660643151e-37","AC124303.2"
"46","2.46003442000373e-42","3.25585187241353","0.812","0.216","1.5150613982477e-37","PARM1"
"47","2.66041422414949e-42","2.74360031894263","0.881","0.284","1.63846930822694e-37","NAP1L5"
"48","3.72079057109081e-42","2.54446621863623","0.95","0.379","2.2915232890177e-37","MEG8"
"49","7.56562908572515e-42","3.34526689450329","0.869","0.294","4.65944398502555e-37","ZNF385D"
"50","8.35131824223541e-42","3.2936616997824","0.756","0.141","5.14332636584552e-37","ST8SIA3"
"51","1.75175609657186e-41","3.01732576224645","0.85","0.235","1.07885402719571e-36","KCNB1"
"52","1.85517524400207e-41","2.36810399149751","0.85","0.229","1.14254677752356e-36","B4GAT1"
"53","1.88829304470219e-41","2.13735790501659","0.975","0.444","1.16294303744074e-36","SLC4A10"
"54","1.67900472564228e-40","2.73838380192187","0.806","0.193","1.03404864038131e-35","CHD5"
"55","4.79336973762757e-40","2.48996240386772","0.95","0.418","2.95209262031269e-35","FRRS1L"
"56","5.78120751435237e-40","2.56588078236143","0.969","0.533","3.5604722718642e-35","GRIK2"
"57","9.79208221084174e-40","2.04738338693098","0.925","0.31","6.0306496711911e-35","ABCA5"
"58","1.16400209533569e-39","2.89697449651509","0.863","0.297","7.1687397045439e-35","THY1"
"59","3.03005739469157e-39","2.24333082000652","0.994","0.686","1.8661214476687e-34","ZNF483"
"60","3.54989958871798e-39","2.8795547808872","0.775","0.163","2.18627665970374e-34","SULT4A1"
"61","3.58031084881686e-39","2.71815286695213","0.863","0.291","2.20500604246084e-34","FGF14"
